"Date","Site.Name","PM2.5","Ozone"
2020-01-10,"Pitt Agri. Center",26,NA
2020-01-10,"West Johnston Co.",26.5,27
2020-01-11,"Bryson City",28,NA
2020-01-11,"Castle Hayne",14,NA
2020-01-11,"Clemmons Middle",47.5,NA
2020-01-11,"Durham Armory",44,NA
2020-01-11,"Frying Pan Mountain",0,51
2020-01-11,"Garinger High School",33,27.5
2020-01-11,"Hattie Avenue",43.3333333333333,NA
2020-01-11,"Leggett",22.5,NA
2020-01-11,"Linville Falls",3,NA
2020-01-11,"Mendenhall School",40,NA
2020-01-11,"Millbrook School",31.25,27
2020-01-11,"Pitt Agri. Center",24.6666666666667,NA
2020-01-11,"West Johnston Co.",38.5,29
2020-01-12,"Bryson City",28.5,NA
2020-01-12,"Castle Hayne",9,NA
2020-01-12,"Clemmons Middle",40,NA
2020-01-12,"Durham Armory",31.3333333333333,NA
2020-01-12,"Frying Pan Mountain",13,37
2020-01-12,"Garinger High School",36.75,30
2020-01-12,"Hattie Avenue",42,NA
2020-01-12,"Leggett",12.5,NA
2020-01-12,"Linville Falls",26,NA
2020-01-12,"Mendenhall School",27.5,NA
2020-01-12,"Millbrook School",33,32
2020-01-12,"Pitt Agri. Center",18.3333333333333,NA
2020-01-12,"West Johnston Co.",24,30
2020-01-13,"Bryson City",17,NA
2020-01-13,"Castle Hayne",6.5,NA
2020-01-13,"Clemmons Middle",14.5,NA
2020-01-13,"Durham Armory",24,NA
2020-01-13,"Frying Pan Mountain",NA,36
2020-01-13,"Garinger High School",15,27.5
2020-01-13,"Hattie Avenue",13.5,NA
2020-01-13,"Leggett",1.5,NA
2020-01-13,"Mendenhall School",8.5,NA
2020-01-13,"Millbrook School",20.3333333333333,30.5
2020-01-13,"Pitt Agri. Center",5.5,NA
2020-01-13,"West Johnston Co.",8,29
2020-01-14,"Bryson City",18,NA
2020-01-14,"Castle Hayne",13,NA
2020-01-14,"Clemmons Middle",29.5,NA
2020-01-14,"Durham Armory",28,NA
2020-01-14,"Frying Pan Mountain",6,28
2020-01-14,"Garinger High School",25.25,25.5
2020-01-14,"Hattie Avenue",24.75,NA
2020-01-14,"Leggett",15.5,NA
2020-01-14,"Linville Falls",10,NA
2020-01-14,"Mendenhall School",21.5,NA
2020-01-14,"Millbrook School",33.25,29
2020-01-14,"Pitt Agri. Center",19.6666666666667,NA
2020-01-14,"West Johnston Co.",21.5,29
2020-01-15,"Bryson City",28,NA
2020-01-15,"Castle Hayne",25,NA
2020-01-15,"Clemmons Middle",36.3333333333333,NA
2020-01-15,"Durham Armory",48,NA
2020-01-15,"Frying Pan Mountain",4,44
2020-01-15,"Garinger High School",33,24.5
2020-01-15,"Hattie Avenue",39,NA
2020-01-15,"Leggett",24,NA
2020-01-15,"Linville Falls",11,NA
2020-01-15,"Mendenhall School",35,NA
2020-01-15,"Millbrook School",47.75,22
2020-01-15,"Pitt Agri. Center",37.3333333333333,NA
2020-01-15,"West Johnston Co.",37.5,23
2020-01-16,"Bryson City",39.5,NA
2020-01-16,"Castle Hayne",24.5,NA
2020-01-16,"Clemmons Middle",55,NA
2020-01-16,"Durham Armory",57,NA
2020-01-16,"Frying Pan Mountain",NA,44
2020-01-16,"Garinger High School",45.6666666666667,27.5
2020-01-16,"Hattie Avenue",53,NA
2020-01-16,"Leggett",29.5,NA
2020-01-16,"Mendenhall School",50.5,NA
2020-01-16,"Millbrook School",57,25.5
2020-01-16,"Pitt Agri. Center",44.5,NA
2020-01-16,"West Johnston Co.",47.5,31
2020-01-17,"Bryson City",44,NA
2020-01-17,"Castle Hayne",27,NA
2020-01-17,"Clemmons Middle",51,NA
2020-01-17,"Durham Armory",52,NA
2020-01-17,"Frying Pan Mountain",15,40
2020-01-17,"Garinger High School",37.75,24
2020-01-17,"Hattie Avenue",45,NA
2020-01-17,"Leggett",29.5,NA
2020-01-17,"Linville Falls",19,NA
2020-01-17,"Mendenhall School",43.5,NA
2020-01-17,"Millbrook School",51,27
2020-01-17,"Pitt Agri. Center",42,NA
2020-01-17,"West Johnston Co.",50.5,26
2020-01-18,"Bryson City",39.5,NA
2020-01-18,"Castle Hayne",29,NA
2020-01-18,"Clemmons Middle",52,NA
2020-01-18,"Durham Armory",44,NA
2020-01-18,"Frying Pan Mountain",4,31
2020-01-18,"Garinger High School",52.5,22.5
2020-01-18,"Hattie Avenue",51.6666666666667,NA
2020-01-18,"Leggett",26,NA
2020-01-18,"Linville Falls",5,NA
2020-01-18,"Mendenhall School",40,NA
2020-01-18,"Millbrook School",46.5,31
2020-01-18,"Pitt Agri. Center",30.3333333333333,NA
2020-01-18,"West Johnston Co.",45,27
2020-01-19,"Bryson City",41,NA
2020-01-19,"Castle Hayne",19,NA
2020-01-19,"Clemmons Middle",56.5,NA
2020-01-19,"Durham Armory",54.5,NA
2020-01-19,"Frying Pan Mountain",NA,36
2020-01-19,"Garinger High School",52.3333333333333,28.5
2020-01-19,"Hattie Avenue",44.5,NA
2020-01-19,"Leggett",22.5,NA
2020-01-19,"Mendenhall School",33.5,NA
2020-01-19,"Millbrook School",49.6666666666667,32.5
2020-01-19,"Pitt Agri. Center",31,NA
2020-01-19,"West Johnston Co.",40.5,32
2020-01-20,"Bryson City",33,NA
2020-01-20,"Castle Hayne",14.5,NA
2020-01-20,"Clemmons Middle",41,NA
2020-01-20,"Durham Armory",40.6666666666667,NA
2020-01-20,"Frying Pan Mountain",6,40
2020-01-20,"Garinger High School",30,32
2020-01-20,"Hattie Avenue",31,NA
2020-01-20,"Leggett",18.5,NA
2020-01-20,"Linville Falls",8,NA
2020-01-20,"Mendenhall School",21.5,NA
2020-01-20,"Millbrook School",38,35
2020-01-20,"Pitt Agri. Center",30.3333333333333,NA
2020-01-20,"West Johnston Co.",27,35
2020-01-21,"Bryson City",39.5,NA
2020-01-21,"Castle Hayne",6,NA
2020-01-21,"Clemmons Middle",26,NA
2020-01-21,"Durham Armory",29,NA
2020-01-21,"Frying Pan Mountain",4,44
2020-01-21,"Garinger High School",29.75,34
2020-01-21,"Hattie Avenue",24.6666666666667,NA
2020-01-21,"Leggett",11.5,NA
2020-01-21,"Linville Falls",6,NA
2020-01-21,"Mendenhall School",23.5,NA
2020-01-21,"Millbrook School",35,35.5
2020-01-21,"Pitt Agri. Center",19.3333333333333,NA
2020-01-21,"West Johnston Co.",27,36
2020-01-22,"Bryson City",44,NA
2020-01-22,"Castle Hayne",15,NA
2020-01-22,"Clemmons Middle",45.5,NA
2020-01-22,"Durham Armory",49.5,NA
2020-01-22,"Garinger High School",37,34
2020-01-22,"Hattie Avenue",38.5,NA
2020-01-22,"Leggett",22.5,NA
2020-01-22,"Mendenhall School",32,NA
2020-01-22,"Millbrook School",46.3333333333333,32
2020-01-22,"Pitt Agri. Center",29.5,NA
2020-01-22,"West Johnston Co.",39,NA
2020-01-23,"Bryson City",18,NA
2020-01-23,"Castle Hayne",8,NA
2020-01-23,"Clemmons Middle",39.5,NA
2020-01-23,"Durham Armory",26,NA
2020-01-23,"Frying Pan Mountain",11,37
2020-01-23,"Garinger High School",18.75,33.5
2020-01-23,"Hattie Avenue",29,NA
2020-01-23,"Leggett",12,NA
2020-01-23,"Linville Falls",10,NA
2020-01-23,"Mendenhall School",25.5,NA
2020-01-23,"Millbrook School",28.25,36
2020-01-23,"Pitt Agri. Center",17.6666666666667,NA
2020-01-23,"West Johnston Co.",19,37
2020-01-24,"Bryson City",19.5,NA
2020-01-24,"Castle Hayne",8.5,NA
2020-01-24,"Clemmons Middle",17,NA
2020-01-24,"Durham Armory",19.6666666666667,NA
2020-01-24,"Frying Pan Mountain",4,35
2020-01-24,"Garinger High School",10.5,28
2020-01-24,"Hattie Avenue",11.3333333333333,NA
2020-01-24,"Leggett",1.5,NA
2020-01-24,"Linville Falls",6,NA
2020-01-24,"Mendenhall School",8,NA
2020-01-24,"Millbrook School",16.25,31
2020-01-24,"Pitt Agri. Center",9.66666666666667,NA
2020-01-24,"West Johnston Co.",9.5,32
2020-01-25,"Bryson City",28,NA
2020-01-25,"Castle Hayne",9.5,NA
2020-01-25,"Clemmons Middle",34.5,NA
2020-01-25,"Durham Armory",41.5,NA
2020-01-25,"Frying Pan Mountain",NA,44
2020-01-25,"Garinger High School",30,31.5
2020-01-25,"Hattie Avenue",32,NA
2020-01-25,"Leggett",9,NA
2020-01-25,"Mendenhall School",27,NA
2020-01-25,"Millbrook School",38,32
2020-01-25,"Pitt Agri. Center",19.5,NA
2020-01-25,"West Johnston Co.",24,33
2020-01-26,"Bryson City",47.5,NA
2020-01-26,"Castle Hayne",13.5,NA
2020-01-26,"Clemmons Middle",55,NA
2020-01-26,"Durham Armory",49,NA
2020-01-26,"Frying Pan Mountain",8,43
2020-01-26,"Garinger High School",43,33.5
2020-01-26,"Hattie Avenue",53.75,NA
2020-01-26,"Leggett",14.5,NA
2020-01-26,"Linville Falls",18,NA
2020-01-26,"Mendenhall School",50.5,NA
2020-01-26,"Millbrook School",51.75,32
2020-01-26,"Pitt Agri. Center",25.6666666666667,NA
2020-01-26,"West Johnston Co.",42,36
2020-01-27,"Bryson City",54,NA
2020-01-27,"Castle Hayne",18,NA
2020-01-27,"Clemmons Middle",55.3333333333333,NA
2020-01-27,"Durham Armory",48.3333333333333,NA
2020-01-27,"Frying Pan Mountain",9,43
2020-01-27,"Garinger High School",45.5,31
2020-01-27,"Hattie Avenue",57.3333333333333,NA
2020-01-27,"Leggett",22.5,NA
2020-01-27,"Linville Falls",15,NA
2020-01-27,"Mendenhall School",52.5,NA
2020-01-27,"Millbrook School",54,35
2020-01-27,"Pitt Agri. Center",34.3333333333333,NA
2020-01-27,"West Johnston Co.",36.5,34
2020-01-28,"Bryson City",40,NA
2020-01-28,"Castle Hayne",12,NA
2020-01-28,"Clemmons Middle",57.5,NA
2020-01-28,"Durham Armory",32,NA
2020-01-28,"Frying Pan Mountain",NA,43
2020-01-28,"Garinger High School",38.25,33
2020-01-28,"Hattie Avenue",41,NA
2020-01-28,"Leggett",12.5,NA
2020-01-28,"Mendenhall School",33.5,NA
2020-01-28,"Millbrook School",34,31.5
2020-01-28,"Pitt Agri. Center",11,NA
2020-01-28,"West Johnston Co.",22,34
2020-01-29,"Bryson City",31,NA
2020-01-29,"Castle Hayne",9.5,NA
2020-01-29,"Clemmons Middle",31.5,NA
2020-01-29,"Durham Armory",24.6666666666667,NA
2020-01-29,"Frying Pan Mountain",4,42
2020-01-29,"Garinger High School",22.5,27
2020-01-29,"Hattie Avenue",21.3333333333333,NA
2020-01-29,"Leggett",9,NA
2020-01-29,"Linville Falls",7,NA
2020-01-29,"Mendenhall School",23,NA
2020-01-29,"Millbrook School",30.75,30
2020-01-29,"Pitt Agri. Center",12.3333333333333,NA
2020-01-29,"West Johnston Co.",18.5,41
2020-01-30,"Bryson City",31.5,NA
2020-01-30,"Castle Hayne",6.5,NA
2020-01-30,"Clemmons Middle",22.5,NA
2020-01-30,"Durham Armory",28,35
2020-01-30,"Frying Pan Mountain",5,43
2020-01-30,"Garinger High School",18.25,33
2020-01-30,"Hattie Avenue",19,NA
2020-01-30,"Leggett",13,35
2020-01-30,"Linville Falls",7,NA
2020-01-30,"Mendenhall School",14.5,NA
2020-01-30,"Millbrook School",26.75,34
2020-01-30,"Pitt Agri. Center",16.6666666666667,NA
2020-01-30,"West Johnston Co.",17.5,37
2020-01-31,"Bryson City",39,NA
2020-01-31,"Castle Hayne",8.5,NA
2020-01-31,"Clemmons Middle",31.5,NA
2020-01-31,"Durham Armory",37.5,33
2020-01-31,"Frying Pan Mountain",NA,43
2020-01-31,"Garinger High School",30,32.5
2020-01-31,"Hattie Avenue",27.5,NA
2020-01-31,"Leggett",12.5,36
2020-01-31,"Mendenhall School",25.5,NA
2020-01-31,"Millbrook School",31.3333333333333,33
2020-01-31,"Pitt Agri. Center",19.5,NA
2020-01-31,"West Johnston Co.",21,37
2020-02-01,"Bryson City",56,NA
2020-02-01,"Castle Hayne",14,NA
2020-02-01,"Clemmons Middle",55,NA
2020-02-01,"Durham Armory",41,34
2020-02-01,"Frying Pan Mountain",12,44
2020-02-01,"Garinger High School",38.5,36
2020-02-01,"Hattie Avenue",42.5,NA
2020-02-01,"Leggett",24,38
2020-02-01,"Linville Falls",24,NA
2020-02-01,"Mendenhall School",45,NA
2020-02-01,"Millbrook School",38.25,37.5
2020-02-01,"Pitt Agri. Center",24,NA
2020-02-01,"West Johnston Co.",38.5,40
2020-02-02,"Bryson City",30,NA
2020-02-02,"Castle Hayne",20,NA
2020-02-02,"Clemmons Middle",38,NA
2020-02-02,"Durham Armory",42.6666666666667,26
2020-02-02,"Frying Pan Mountain",9,47
2020-02-02,"Garinger High School",44,38
2020-02-02,"Hattie Avenue",41.3333333333333,NA
2020-02-02,"Leggett",26,30
2020-02-02,"Linville Falls",14,NA
2020-02-02,"Mendenhall School",32.5,NA
2020-02-02,"Millbrook School",52.25,31.5
2020-02-02,"Pitt Agri. Center",40.5,NA
2020-02-02,"West Johnston Co.",35,34
2020-02-03,"Bryson City",40,NA
2020-02-03,"Castle Hayne",8,NA
2020-02-03,"Clemmons Middle",57.5,NA
2020-02-03,"Durham Armory",48.5,19
2020-02-03,"Frying Pan Mountain",NA,46
2020-02-03,"Garinger High School",46.6666666666667,37.5
2020-02-03,"Hattie Avenue",44.5,NA
2020-02-03,"Leggett",24.5,32
2020-02-03,"Mendenhall School",46.5,NA
2020-02-03,"Millbrook School",55.6666666666667,31.5
2020-02-03,"Pitt Agri. Center",35,NA
2020-02-03,"West Johnston Co.",39.5,38
2020-02-04,"Bryson City",45.5,NA
2020-02-04,"Castle Hayne",12,NA
2020-02-04,"Clemmons Middle",50,NA
2020-02-04,"Durham Armory",39.3333333333333,39
2020-02-04,"Frying Pan Mountain",2,44
2020-02-04,"Garinger High School",46.75,30
2020-02-04,"Hattie Avenue",39.5,NA
2020-02-04,"Leggett",28,43
2020-02-04,"Linville Falls",5,NA
2020-02-04,"Mendenhall School",41.5,NA
2020-02-04,"Millbrook School",40.75,37
2020-02-04,"Pitt Agri. Center",17,NA
2020-02-04,"West Johnston Co.",29,43
2020-02-05,"Bryson City",40.5,NA
2020-02-05,"Castle Hayne",26.5,NA
2020-02-05,"Clemmons Middle",38,NA
2020-02-05,"Durham Armory",42,31
2020-02-05,"Frying Pan Mountain",17,37
2020-02-05,"Garinger High School",37.25,31.5
2020-02-05,"Hattie Avenue",33.3333333333333,NA
2020-02-05,"Leggett",20,37
2020-02-05,"Linville Falls",20,NA
2020-02-05,"Mendenhall School",34,NA
2020-02-05,"Millbrook School",47,31.5
